Pick,APPID,APP_POPULARITY,IS_FREE,IS_GAME,GITHUB_OPEN_ISSUES_COUNT
,io.github.jkozera.ZevDocs,141,true,false,0
,org.gnome.Books,142,true,false,3
,org.gnome.Photos,143,true,false,1
1,com.albiononline.AlbionOnline,144,false,true,3
,com.github.z.Cumulonimbus,145,true,false,2
1,org.gnome.chess,146,true,true,1
,com.github.donadigo.appeditor,147,true,false,3
,org.flatpak.qtdemo,148,true,false,0
1,net.sourceforge.mars-game,149,true,true,0
,com.github.mdh34.quickdocs,150,true,false,0
,org.gnome.Rhythmbox3,151,true,false,5
1,org.godotengine.Godot,152,true,true,3
,org.mypaint.MyPaint,153,true,false,1
,com.github.mdh34.hackup,154,true,false,0
,org.kicad_pcb.KiCad,155,true,false,0
1,io.mgba.mGBA,156,true,true,2
,org.gnome.Todo,157,true,false,0
1,org.gnome.Totem,158,true,false,1
,io.webtorrent.WebTorrent,159,true,false,1
,work.openpaper.Paperwork,160,true,false,1
,io.github.OpenToonz,161,true,false,0
,org.gnome.Music,162,true,false,0
,org.gnome.gedit,163,true,false,1
1,org.tuxfamily.StuntRally,164,true,true,1
,io.elementary.code,165,true,false,3
,com.beakerbrowser.Beaker,166,true,false,0
,com.github.philip_scott.spice-up,167,true,false,0
,org.gnome.Contacts,168,true,false,0
,org.texstudio.TeXstudio,169,true,false,1
,net.oz9aec.Gpredict,170,true,false,0
,org.gnome.Calculator,171,true,false,0
,com.github.birros.WebArchives,172,true,false,0
,de.haeckerfelix.Fragments,173,true,false,0
1,im.riot.Riot,174,true,false,2
1,net.supertuxkart.SuperTuxKart,175,true,true,1
,org.bunkus.mkvtoolnix-gui,176,true,false,0
,org.musicbrainz.Picard,177,true,false,1
,com.github.bleakgrey.tootle,178,true,false,1
,nl.hjdskes.gcolor3,179,true,false,0
,org.gnome.meld,180,true,false,0
,org.pyzo.pyzo,181,true,false,0
,org.gnome.Epiphany,182,true,false,1
,org.gnome.bijiben,183,true,false,1
,org.gnome.Recipes,184,true,false,1
,com.bladecoder.adventure-editor,185,true,false,0
,io.github.Pithos,186,true,false,0
,org.qownnotes.QOwnNotes,187,true,false,0
,fr.free.Homebank,188,true,false,1
,io.github.quodlibet.QuodLibet,189,true,false,4
,com.github.eudaldgr.elements,190,true,false,0
,org.gajim.Gajim,191,true,false,1
,com.hamrick.VueScan,192,false,false,0
,com.bitwarden.desktop,193,true,false,0
,org.gnome.Glade,194,true,false,0
,com.calibre_ebook.calibre,195,true,false,1
,io.github.wereturtle.ghostwriter,196,true,false,0
1,org.kde.gcompris,197,true,true,0
,org.baedert.corebird,198,true,false,1
,org.freedesktop.Piper,199,true,false,0
,org.gottcode.Kapow,200,true,false,0
,com.github.hluk.copyq,201,true,false,1
,io.github.markummitchell.Engauge_Digitizer,202,true,false,0
,io.lbry.lbry-app,203,true,false,2
1,net.sourceforge.chromium-bsu,204,true,true,1
,org.gnome.Documents,205,true,false,2
,org.gnome.Genius,206,true,false,0
,io.github.martinrotter.textosaurus,207,true,false,0
,org.gnome.clocks,208,true,false,0
,org.pencil2d.Pencil2D,209,true,false,0
,org.xiphos.Xiphos,210,true,false,0
,im.srain.Srain,211,true,false,0
,io.github.guillaumechereau.Goxel,212,true,false,0
1,net.runelite.RuneLite,213,true,true,1
1,net.scribus.Scribus,214,true,false,1
,org.gpodder.gpodder,215,true,false,2
1,org.xonotic.Xonotic,216,true,true,0
,net.bartkessels.getit,217,true,false,0
,net.mediaarea.MediaInfo,218,true,false,0
,org.gnome.Gnote,219,true,false,1
,org.synfig.SynfigStudio,220,true,false,0
1,io.github.Freedoom-Phase-1,221,true,true,0
,net.sourceforge.xournal,222,true,false,1
,org.processing.processingide,223,true,false,0
1,com.viewizard.AstroMenace,224,true,true,0
,org.zim_wiki.Zim,225,true,false,1
,com.github.gkarsay.parlatype,226,true,false,0
,com.github.labyrinth_team.labyrinth,227,true,false,0
1,org.flightgear.FlightGear,228,true,true,1
,org.gnome.Devhelp,229,true,false,1
,org.qgis.qgis,230,true,false,4
1,net.minetest.Minetest,231,true,true,2
,org.fritzing.Fritzing,232,true,false,0
,com.github.artemanufrij.playmymusic,233,true,false,0
,com.github.lainsce.notejot,234,true,false,0
1,com.shatteredpixel.shatteredpixeldungeon,235,true,true,1
1,org.flarerpg.Flare,236,true,true,0
,org.freedesktop.Bustle,237,true,false,1
,de.manuel_kehl.go-for-it,238,true,false,1
1,org.frozen_bubble.frozen-bubble,239,true,true,1
1,org.openttd.OpenTTD,240,true,true,1
,io.github.betaflight.BetaflightConfigurator,241,true,false,1
,org.gnome.Dictionary,242,true,false,0
,org.gnome.eog,243,true,false,3
,org.gnome.ghex,244,true,false,0
,org.sparkleshare.SparkleShare,245,true,false,0
,com.github.lainsce.coin,246,true,false,0
,com.remarkable.reMarkable,247,false,false,2
1,net.sourceforge.ExtremeTuxRacer,248,true,true,0
,org.pjbroad.EternallandsClient,249,false,true,0
,com.github.miguelmota.Cointop,250,true,false,0
,de.rwth_aachen.ient.YUView,251,true,false,0
,org.kde.kgeography,252,true,false,1
,com.dosbox.DOSBox,253,true,false,1
,com.github.dariasteam.cowsrevenge,254,true,true,0
,com.tux4kids.tuxmath,255,true,false,0
,im.gitter.Gitter,256,true,false,1
,org.gnome.glabels-3,257,true,false,0
,com.chez.GrafX2,258,true,false,0
,com.scoutshonour.dtipbijays,259,true,true,1
,io.github.cloose.CuteMarkEd,260,true,false,0
,net.poedit.Poedit,261,true,false,3
,org.develz.Crawl,262,true,true,0
,org.gnome.gbrainy,263,true,true,0
,org.kde.kapman,264,true,true,0
,org.openscad.OpenSCAD,265,true,false,2
,org.photoqt.PhotoQt,266,true,false,0
,com.github.ojubaorg.Othman,267,true,false,1
,io.exodus.Exodus,268,false,false,0
,io.github.Freedoom-Phase-2,269,true,true,0
,net.sourceforge.Klavaro,270,true,false,1
,ca.desrt.dconf-editor,271,true,false,1
,com.katawa_shoujo.KatawaShoujo,272,true,true,0
,org.armagetronad.ArmagetronAdvanced,273,true,true,2
,com.syntevo.SmartGit,274,false,false,3
,io.github.EndlessSky.endless-sky,275,true,true,1
,io.github.FreeDM,276,true,true,0
,net.sf.VICE,277,true,true,2
,org.naev.Naev,278,true,true,0
,im.pidgin.Pidgin,279,true,false,1
,net.sourceforge.Chessx,280,true,true,0
,cx.ring.Ring,281,true,false,9
,io.gitlab.osslugaru.Lugaru,282,true,true,0
,org.kde.kolourpaint,283,true,false,0
,org.mapeditor.Tiled,284,true,false,0
,com.bixense.PasswordCalculator,285,true,false,0
,com.krillbite.ThePlan,286,false,true,1
,net.sourceforge.projectM,287,true,false,0
,org.sauerbraten.Sauerbraten,288,true,true,0
,org.scummvm.ScummVM,289,true,true,1
,org.supertux.SuperTux-Milestone1,290,true,true,0
,com.github.cassidyjames.dippi,291,true,false,0
,com.github.rssguard,292,true,false,0
,com.tux4kids.tuxtype,293,true,false,2
,io.github.mujx.Nheko,294,true,false,0
,org.gnome.Polari,295,true,false,0
,org.kde.knavalbattle,296,true,true,0
,com.github.paolostivanin.OTPClient,297,true,false,0
,com.scoutshonour.Digital,298,true,true,5
,io.github.gillesdegottex.FMIT,299,true,false,0
,net.sourceforge.torcs,300,true,true,1
,org.eu.encom.matrique,301,true,false,0
,org.openmw.OpenMW,302,true,true,0
,io.github.Cockatrice.cockatrice,303,true,true,3
,io.gitlab.evtest_qt.evtest_qt,304,true,true,0
,me.kozec.syncthingtk,305,true,false,0
,net.fsuae.FS-UAE,306,true,true,0
,net.sourceforge.btanks,307,true,true,1
,org.zulip.Zulip,308,true,false,2
,in.p1x.TanksOfFreedom,309,true,true,0
,net.sourceforge.atanks,310,true,true,2
,org.gottcode.CuteMaze,311,true,true,0
,org.quassel_irc.QuasselClient,312,true,false,1
,net.wz2100.wz2100,313,true,true,0
,org.gahshomar.Gahshomar,314,true,false,0
,org.gnome.Characters,315,true,false,1
,org.gnome.tetravex,316,true,true,0
,org.kde.kalzium,317,true,false,0
,org.kde.ksudoku,318,true,true,0
,org.tuxfamily.XMoto,319,true,true,1
,org.tuxpaint.Tuxpaint,320,true,false,2
,com.lettier.movie-monad,321,true,false,0
,net.sourceforge.Ri-li,322,true,true,2
,org.gnome.Keysign,323,true,false,0
,org.kde.kigo,324,true,true,0
,br.com.jeanhertel.adriconf,325,true,false,2
,ch.x29a.playitslowly,326,true,false,0
,io.github.cges30901.hmtimer,327,true,false,0
,net.mediaarea.MOVMetaEdit,328,true,false,0
,org.seul.pingus,329,true,true,1
,com.github.ryanakca.slingshot,330,true,true,1
,io.gitlab.construo.construo,331,true,true,0
,net.sourceforge.Fillets,332,true,true,1
,org.debian.TuxPuck,333,true,true,1
,space.fips.Fips,334,true,false,0
,com.github.danrabbit.harvey,335,true,false,0
,com.github.lainsce.yishu,336,true,false,0
,ind.ie.Gnomit,337,true,false,0
,org.gnome.frogr,338,true,false,0
,org.gnome.quadrapassel,339,true,true,0
,org.kde.kubrick,340,true,true,0
,org.openclonk.OpenClonk,341,true,true,1
,org.taisei_project.Taisei,342,true,true,0
,com.github.quaternion,343,true,false,0
,net.sf.nootka,344,true,false,0
,org.ethereum.Mist,345,true,false,0
,org.gottcode.Tetzle,346,true,true,0
,org.kde.knetwalk,347,true,true,1
,org.kde.ktuberling,348,true,true,0
,com.github.gyunaev.spivak,349,true,false,2
,com.stepmania.StepMania,350,true,true,1
,com.teeworlds.Teeworlds,351,true,true,0
,org.bzflag.BZFlag,352,true,true,0
,org.gna.Warmux,353,true,true,1
,org.gnome.Gtranslator,354,true,false,1
,org.gottcode.Gottet,355,true,true,0
,org.gottcode.Hexalate,356,true,true,0
,org.gottcode.Simsu,357,true,true,0
,org.kde.kbruch,358,true,false,0
,org.kde.khangman,359,true,true,0
,org.laptop.TurtleArtActivity,360,true,false,0
,org.megaglest.MegaGlest,361,true,true,1
,com.syntevo.SmartSynchronize,362,false,false,0
,io.ark.Desktop,363,true,false,0
,io.gitlab.windstille.Windstille-0_2,364,true,true,0
,net.mediaarea.AVIMetaEdit,365,true,false,0
,net.redeclipse.RedEclipse,366,true,true,0
,org.equeim.Tremotesf,367,true,false,0
,org.freeciv.Freeciv,368,true,true,0
,org.gnome.dfeet,369,true,false,0
,org.gnome.iagno,370,true,true,0
,org.kde.palapeli,371,true,true,0
,org.subsurface_divelog.Subsurface,372,true,false,0
